Wall time,Step,Value
1613067768.57958,0,-5.0140479288529605e-05
1613067768.635428,1,-0.00015953503316268325
1613067768.692476,2,-0.0003107065276708454
1613067768.749981,3,-0.00017958613170776516
1613067768.807775,4,-0.00029345983057282865
1613067768.878061,5,-0.000756641908083111
1613067768.943265,6,-0.00048271354171447456
1613067769.006989,7,-0.0011613746173679829
1613067769.0715,8,-0.000670556677505374
1613067769.136025,9,-0.0004472917353268713
1613067769.200051,10,-0.0009813893120735884
1613067769.263958,11,-0.0018384114373475313
1613067769.335515,12,-0.0016467018285766244
1613067769.404009,13,-0.0025281195994466543
1613067769.470632,14,-0.003967726603150368
1613067769.536226,15,-0.003443172900006175
1613067769.602955,16,-0.005218955222517252
1613067769.670914,17,-0.010319266468286514
1613067769.736183,18,-0.013773715123534203
1613067769.800839,19,-0.013516443781554699
1613067769.868584,20,-0.020063791424036026
1613067769.934538,21,-0.008108646608889103
1613067769.999554,22,-0.020080210641026497
1613067770.064138,23,-0.02516617812216282
1613067770.129053,24,-0.039020687341690063
1613067770.19545,25,-0.051060695201158524
1613067770.263125,26,-0.03608544170856476
1613067770.331357,27,-0.032272156327962875
1613067770.396017,28,-0.03822755441069603
1613067770.475012,29,-0.03324984386563301
1613067770.543826,30,-0.04139557480812073
1613067770.613747,31,-0.03648964315652847
1613067770.683263,32,-0.04626143351197243
1613067770.752098,33,-0.07125471532344818
1613067770.830582,34,-0.059383079409599304
1613067770.898953,35,-0.07160630822181702
1613067770.968463,36,-0.06354907155036926
1613067771.038365,37,-0.07656796276569366
1613067771.107817,38,-0.07184327393770218
1613067771.176473,39,-0.05884585529565811
1613067771.249596,40,-0.08769996464252472
1613067771.325518,41,-0.05998142808675766
1613067771.394323,42,-0.07305167615413666
1613067771.464681,43,-0.08325490355491638
1613067771.53617,44,-0.07487623393535614
1613067771.607475,45,-0.08681194484233856
1613067771.681978,46,-0.06869260221719742
1613067771.754461,47,-0.10569878667593002
1613067771.82588,48,-0.09155257046222687
1613067771.899602,49,-0.08816514909267426
1613067771.97164,50,-0.104338139295578
1613067772.043257,51,-0.11573199927806854
1613067772.126732,52,-0.12694962322711945
1613067772.198057,53,-0.17000755667686462
1613067772.27177,54,-0.1600508838891983
1613067772.347661,55,-0.12983781099319458
1613067772.41838,56,-0.13405436277389526
1613067772.491614,57,-0.16744403541088104
1613067772.56743,58,-0.11889776587486267
1613067772.64186,59,-0.1368224173784256
1613067772.718383,60,-0.14357523620128632
1613067772.792542,61,-0.15615679323673248
1613067772.865555,62,-0.16784021258354187
1613067772.939629,63,-0.145126610994339
1613067773.014732,64,-0.17215757071971893
1613067773.087584,65,-0.11978501081466675
1613067773.165314,66,-0.0995548740029335
1613067773.24185,67,-0.1434057354927063
1613067773.319858,68,-0.1580360382795334
1613067773.397808,69,-0.09258528053760529
1613067773.477567,70,-0.09804381430149078
1613067773.556455,71,-0.09276413172483444
1613067773.634641,72,-0.1282481998205185
1613067773.712017,73,-0.11384214460849762
1613067773.790042,74,-0.1336788535118103
1613067773.871213,75,-0.19403019547462463
1613067773.948103,76,-0.20027950406074524
1613067774.02672,77,-0.17720194160938263
1613067774.103826,78,-0.14325861632823944
1613067774.182509,79,-0.1894766390323639
1613067774.259656,80,-0.1693282276391983
1613067774.337056,81,-0.08394557237625122
1613067774.403183,82,-0.11601310968399048
1613067774.476135,83,-0.099671870470047
1613067774.547926,84,-0.12261541187763214
1613067774.619111,85,-0.12583240866661072
1613067774.692534,86,-0.1236238032579422
1613067774.762945,87,-0.18428631126880646
1613067774.830779,88,-0.15111149847507477
1613067774.898111,89,-0.17733483016490936
1613067774.965043,90,-0.15148675441741943
1613067775.032077,91,-0.19840657711029053
1613067775.102208,92,-0.21529407799243927
1613067775.193725,93,-0.20609194040298462
1613067775.294406,94,-0.21267570555210114
1613067775.369734,95,-0.21694637835025787
1613067775.446347,96,-0.24938826262950897
1613067775.522852,97,-0.12181483209133148
1613067775.590138,98,-0.13606861233711243
1613067775.669495,99,-0.15942712128162384
